latitude,longitude,magnitude
43.649418000,-79.371446000,15662
43.650460600,-79.371923900,12960
43.651533700,-79.372360000,17770
43.652717600,-79.372824000,19678
43.653704000,-79.373238000,14487
43.655357000,-79.373862000,15846
43.657052000,-79.374531000,17835
43.660432000,-79.375853700,18196
43.662420000,-79.376707900,14222
43.666289400,-79.378325000,18163
43.668869000,-79.379415800,15197
43.669989200,-79.379922600,16280
43.671577300,-79.380520000,15844
43.648513176,-79.373833537,10467
43.649916400,-79.374409000,12017
43.651173000,-79.374925000,13816
43.652441000,-79.375448000,10374
43.653170000,-79.375754000,13867
43.654817000,-79.376441000,11028
43.656499000,-79.377127000,13764
43.659858000,-79.378522000,13437
43.661871000,-79.379335000,11648
43.665703400,-79.380928000,12231
43.671022400,-79.383123000,18339
43.650653900,-79.377248000,9968
43.651952200,-79.377756000,11767
43.652670300,-79.378066000,10087
43.646846000,-79.376931000,10996
43.647848400,-79.377351000,13620
43.649162400,-79.377904000,10911
43.650419000,-79.378436000,12454
43.651697000,-79.378965000,9390
43.652420900,-79.379276000,10956
43.654066000,-79.379957000,9525
43.656326000,-79.380912000,10925
43.659089700,-79.382096000,10019
43.661368700,-79.383094000,13438
43.664935100,-79.384558000,9051
43.670229000,-79.386767000,14398
43.672879000,-79.387845000,15532
43.675602800,-79.388950000,13870
43.676976200,-79.389534000,10193
43.679139200,-79.390424000,15632
43.682022600,-79.391574000,14363
43.688075000,-79.394098000,20437
43.698297700,-79.396601000,19703
43.702508000,-79.397458000,14040
43.706750100,-79.398311000,23360
43.709554000,-79.398943000,16937
43.711855100,-79.399437000,15456
43.716605000,-79.400452000,19891
43.719554400,-79.401090000,14632
43.721971000,-79.401557000,18003
43.725103100,-79.402193000,24489
43.727864200,-79.402930000,18308
43.730913000,-79.403788000,19161
43.734367700,-79.404585000,24567
43.645996000,-79.379115000,18965
43.647345000,-79.379702000,16188
43.648653000,-79.380268000,15543
43.649876000,-79.380823000,16489
43.651224400,-79.381452000,10403
43.651890000,-79.381698000,15397
43.652965200,-79.382631000,9430
43.655721000,-79.383734000,16598
43.658496000,-79.384865000,19660
43.660813800,-79.385857000,17491
43.664366000,-79.387151000,16636
43.669701000,-79.389468000,19112
43.646638300,-79.383007000,5575
43.647933800,-79.383531000,12474
43.649196000,-79.384074000,14130
43.650500500,-79.384620000,9677
43.645291000,-79.382476000,16857
43.646405400,-79.384076000,18390
43.647655300,-79.384788000,16694
43.648857000,-79.385480000,20740
43.650139600,-79.386240000,20727
43.650827000,-79.386628000,23078
43.654812000,-79.388484000,30191
43.656323000,-79.388959000,26595
43.659847400,-79.390490000,20732
43.663609800,-79.390626000,15472
43.665935300,-79.391879000,12427
43.668685000,-79.394119000,24059
43.714583800,-79.359791000,26029
43.713573000,-79.364752000,19362
43.712562700,-79.369606000,18995
43.711056000,-79.377114000,30378
43.710009300,-79.382221000,16885
43.708416600,-79.390153000,20734
43.707866900,-79.392790000,14372
43.706345800,-79.400252000,15743
43.705106800,-79.406125000,13295
43.704610400,-79.408474000,26329
43.703476100,-79.413880000,14096
43.702713100,-79.417444000,19751
43.702361100,-79.419081000,20620
43.700975700,-79.425534000,20547
43.699824800,-79.430961000,15770
43.698048000,-79.439379000,17430
43.697293200,-79.442789000,17171
43.696242000,-79.447688000,7308
43.695684000,-79.450293000,22212
43.694985000,-79.453476000,9802
43.672136000,-79.395624000,14811
43.674705000,-79.396651000,31510
43.677190000,-79.397579000,16518
43.679547500,-79.398550000,18929
43.684324100,-79.400495000,23332
43.686624000,-79.401479000,29303
43.690773000,-79.403027000,19162
43.693729700,-79.401852000,19054
43.697879800,-79.403231000,14555
43.698761000,-79.406076000,19127
43.710333000,-79.411119000,18012
43.716960000,-79.413444000,22274
43.722240100,-79.415589000,27712
43.727900000,-79.417894000,20920
43.733200000,-79.419510000,22365
43.735910300,-79.420100000,16556
43.739862700,-79.421636000,33867
43.744121000,-79.406724000,38102
43.761514400,-79.410903000,38219
43.769294500,-79.412931000,21274
43.773798000,-79.414034000,20746
43.779790000,-79.415560000,29978
43.787080400,-79.417327000,28482
43.793814500,-79.418991000,25570
43.798049000,-79.420064000,42005
43.674577500,-79.380161000,15595
43.688319600,-79.383542000,16844
43.690374000,-79.383288000,16436
43.693603800,-79.384621200,14138
43.698204600,-79.386448000,19066
43.700322200,-79.386937000,20037
43.704309900,-79.388524000,16260
43.711129000,-79.391181000,16019
43.717882400,-79.394131000,17509
43.722309900,-79.395694000,11213
43.726237038,-79.396790564,16832
43.770604000,-79.186884000,25440
43.767655800,-79.189555000,32159
43.762110100,-79.194732700,23952
43.749649000,-79.205992000,24763
43.743755700,-79.211651000,26434
43.738817000,-79.217042000,21905
43.725113000,-79.232452000,29118
43.721858000,-79.236215000,22911
43.711111000,-79.248196000,21013
43.708769400,-79.249759000,22525
43.703931000,-79.252775000,20066
43.693014100,-79.262326000,13485
43.691469000,-79.264762000,10312
43.687769800,-79.270928000,14473
43.682270900,-79.279219000,12928
43.680807400,-79.284041000,14869
43.680260400,-79.290700000,11564
43.678903000,-79.298010000,16657
43.676950000,-79.304104000,12652
43.673940000,-79.307902000,23556
43.669951000,-79.311169000,11441
43.718239000,-79.240372000,21729
43.672219000,-79.384788000,10903
43.653099000,-79.387585000,23658
43.694104000,-79.366284000,18084
43.666345000,-79.316558000,9821
43.696729800,-79.371732000,22923
43.700960000,-79.373324000,20257
43.704257500,-79.374587000,18168
43.706917800,-79.375617000,13751
43.682571600,-79.399760000,21764
43.657400000,-79.356540000,8869
43.659502000,-79.357445000,6776
43.663687400,-79.359230000,12274
43.665881900,-79.357365000,11198
