latitude,longitude,speed_limit,average_speed,speed_ratio,inverted_ratio
43.66217,-79.37786,40,9.91,0.24775,0.75225
43.66216,-79.378,40,9.91,0.24775,0.75225
43.66211,-79.3682,40,27.04,0.6759999999999999,0.32400000000000007
43.66204,-79.36854,40,27.04,0.6759999999999999,0.32400000000000007
43.66213,-79.3834,40,19.72,0.493,0.507
43.66203,-79.38336,40,19.72,0.493,0.507
43.66234,-79.36718,40,20.34,0.5085,0.49150000000000005
43.66194,-79.36704,40,20.34,0.5085,0.49150000000000005
43.66259,-79.39969,50,17.98,0.35960000000000003,0.6404
43.66215,-79.39952,50,17.98,0.35960000000000003,0.6404
43.662,-79.39945,50,17.98,0.35960000000000003,0.6404
43.6617,-79.39933,50,17.98,0.35960000000000003,0.6404
43.66156,-79.3707,40,12.65,0.31625000000000003,0.68375
43.66141,-79.37143,40,12.65,0.31625000000000003,0.68375
43.66203,-79.38336,40,16.63,0.41574999999999995,0.58425
43.6614,-79.38311,40,16.63,0.41574999999999995,0.58425
43.66134,-79.40132,50,11.48,0.2296,0.7704
43.66155,-79.40022,50,11.48,0.2296,0.7704
43.6617,-79.39933,50,11.48,0.2296,0.7704
43.66113,-79.38809,50,13.42,0.26839999999999997,0.7316
43.66116,-79.38788,50,13.42,0.26839999999999997,0.7316
43.6612,-79.38769,50,13.42,0.26839999999999997,0.7316
43.66217,-79.41265,50,4.82,0.0964,0.9036
43.66118,-79.41226,50,4.82,0.0964,0.9036
43.66101,-79.41219,50,4.82,0.0964,0.9036
43.6612,-79.38769,50,17.46,0.3492,0.6508
43.66094,-79.38758,50,17.46,0.3492,0.6508
43.66126,-79.3791,40,21.4,0.5349999999999999,0.4650000000000001
43.66065,-79.37883,40,21.4,0.5349999999999999,0.4650000000000001
43.66054,-79.38743,40,25.16,0.629,0.371
43.6607,-79.38667,40,25.16,0.629,0.371
43.66096,-79.37354,50,19.04,0.38079999999999997,0.6192
43.66041,-79.37332,50,19.04,0.38079999999999997,0.6192
43.66032,-79.4065,50,24.36,0.48719999999999997,0.5128
43.66042,-79.40597,50,24.36,0.48719999999999997,0.5128
43.6603,-79.40101,40,25.1,0.6275000000000001,0.37249999999999994
43.66029,-79.40105,40,25.1,0.6275000000000001,0.37249999999999994
43.66028,-79.4011,40,25.1,0.6275000000000001,0.37249999999999994
43.66026,-79.40114,40,25.1,0.6275000000000001,0.37249999999999994
43.66024,-79.40118,40,25.1,0.6275000000000001,0.37249999999999994
43.66022,-79.40123,40,25.1,0.6275000000000001,0.37249999999999994
43.66187,-79.41758,50,14.6,0.292,0.708
43.66184,-79.41758,50,14.6,0.292,0.708
43.66177,-79.41758,50,14.6,0.292,0.708
43.66171,-79.41755,50,14.6,0.292,0.708
43.66099,-79.41726,50,14.6,0.292,0.708
43.66002,-79.41689,50,14.6,0.292,0.708
43.66002,-79.39887,50,16.98,0.3396,0.6604
43.66009,-79.39871,50,16.98,0.3396,0.6604
43.66065,-79.37883,40,12.66,0.3165,0.6835
43.65983,-79.37847,40,12.66,0.3165,0.6835
43.65982,-79.39995,50,15.84,0.31679999999999997,0.6832
43.66002,-79.39887,50,15.84,0.31679999999999997,0.6832
43.66127,-79.41096,50,24.77,0.4954,0.5045999999999999
43.66044,-79.41062,50,24.77,0.4954,0.5045999999999999
43.65957,-79.41027,50,24.77,0.4954,0.5045999999999999
43.66022,-79.40123,40,31.82,0.7955,0.20450000000000002
43.66017,-79.40129,40,31.82,0.7955,0.20450000000000002
43.66012,-79.40136,40,31.82,0.7955,0.20450000000000002
43.66002,-79.40146,40,31.82,0.7955,0.20450000000000002
43.65995,-79.40152,40,31.82,0.7955,0.20450000000000002
43.65989,-79.40156,40,31.82,0.7955,0.20450000000000002
43.65981,-79.40159,40,31.82,0.7955,0.20450000000000002
43.65972,-79.4016,40,31.82,0.7955,0.20450000000000002
43.65963,-79.4016,40,31.82,0.7955,0.20450000000000002
43.65954,-79.40158,40,31.82,0.7955,0.20450000000000002
43.65951,-79.40157,40,31.82,0.7955,0.20450000000000002
43.65959,-79.36523,40,18.05,0.45125000000000004,0.54875
43.65943,-79.36598,40,18.05,0.45125000000000004,0.54875
43.66101,-79.41219,30,25.9,0.8633333333333333,0.13666666666666671
43.66021,-79.41187,30,25.9,0.8633333333333333,0.13666666666666671
43.6593,-79.41152,30,25.9,0.8633333333333333,0.13666666666666671
43.6593,-79.4025,50,5.75,0.115,0.885
43.65951,-79.40157,50,5.75,0.115,0.885
43.65921,-79.3935,40,35.59,0.88975,0.11024999999999996
43.65941,-79.39259,40,35.59,0.88975,0.11024999999999996
43.65907,-79.38598,50,11.31,0.2262,0.7738
43.65924,-79.38519,50,11.31,0.2262,0.7738
43.6591,-79.40082,40,20.83,0.5207499999999999,0.47925000000000006
43.65909,-79.40076,40,20.83,0.5207499999999999,0.47925000000000006
43.65909,-79.4007,40,20.83,0.5207499999999999,0.47925000000000006
43.65909,-79.40064,40,20.83,0.5207499999999999,0.47925000000000006
43.65909,-79.4006,40,20.83,0.5207499999999999,0.47925000000000006
43.65909,-79.40056,40,20.83,0.5207499999999999,0.47925000000000006
43.6591,-79.40052,40,20.83,0.5207499999999999,0.47925000000000006
43.65913,-79.36734,40,34.44,0.861,0.139
43.65901,-79.36795,40,34.44,0.861,0.139
43.65896,-79.39468,40,35.85,0.89625,0.10375000000000001
43.65908,-79.3941,40,35.85,0.89625,0.10375000000000001
43.65901,-79.36795,40,28.99,0.72475,0.27525
43.65888,-79.36853,40,28.99,0.72475,0.27525
43.66049,-79.41463,50,19.69,0.39380000000000004,0.6062
43.65967,-79.41431,50,19.69,0.39380000000000004,0.6062
43.65882,-79.41397,50,19.69,0.39380000000000004,0.6062
43.6591,-79.3821,40,33.21,0.83025,0.16974999999999996
43.65865,-79.38191,40,33.21,0.83025,0.16974999999999996
43.65888,-79.36853,40,30.81,0.77025,0.22975
43.65866,-79.36948,40,30.81,0.77025,0.22975
43.65854,-79.4065,50,17.45,0.349,0.651
43.65868,-79.40585,50,17.45,0.349,0.651
43.66018,-79.40716,50,13.6,0.272,0.728
43.65932,-79.40681,50,13.6,0.272,0.728
43.65854,-79.4065,50,13.6,0.272,0.728
43.65864,-79.39011,50,26.55,0.531,0.469
43.65846,-79.39003,50,26.55,0.531,0.469
43.65841,-79.40714,50,25.2,0.504,0.496
43.65854,-79.4065,50,25.2,0.504,0.496
43.65855,-79.37636,50,23.15,0.46299999999999997,0.537
43.65834,-79.37723,50,23.15,0.46299999999999997,0.537
43.65834,-79.38567,40,16.85,0.42125,0.57875
43.6585,-79.38488,40,16.85,0.42125,0.57875
43.65907,-79.38598,50,10.82,0.2164,0.7836
43.65834,-79.38567,50,10.82,0.2164,0.7836
43.65834,-79.37723,50,26.69,0.5338,0.46619999999999995
43.65822,-79.37785,50,26.69,0.5338,0.46619999999999995
43.65865,-79.38191,40,35.76,0.8939999999999999,0.1060000000000001
43.65788,-79.38158,40,35.76,0.8939999999999999,0.1060000000000001
43.65818,-79.38638,50,22.06,0.4412,0.5588
43.65794,-79.38625,50,22.06,0.4412,0.5588
43.65778,-79.38619,50,22.06,0.4412,0.5588
43.65802,-79.41898,50,31.43,0.6286,0.37139999999999995
43.65799,-79.41899,50,31.43,0.6286,0.37139999999999995
43.65781,-79.4191,50,31.43,0.6286,0.37139999999999995
43.65745,-79.41932,50,31.43,0.6286,0.37139999999999995
43.65735,-79.40315,40,19.77,0.49424999999999997,0.50575
43.65743,-79.40279,40,19.77,0.49424999999999997,0.50575
43.65724,-79.40377,40,15.48,0.387,0.613
43.65735,-79.40315,40,15.48,0.387,0.613
43.65718,-79.40405,40,17.89,0.44725000000000004,0.55275
43.65724,-79.40377,40,17.89,0.44725000000000004,0.55275
43.65715,-79.38508,50,16.83,0.33659999999999995,0.6634
43.6573,-79.38437,50,16.83,0.33659999999999995,0.6634
43.6571,-79.40449,40,20.09,0.50225,0.49775
43.65718,-79.40405,40,20.09,0.50225,0.49775
43.65741,-79.38137,40,31.5,0.7875,0.21250000000000002
43.65702,-79.38121,40,31.5,0.7875,0.21250000000000002
43.65698,-79.40517,40,21.92,0.548,0.45199999999999996
43.6571,-79.40449,40,21.92,0.548,0.45199999999999996
43.657,-79.38587,50,27.21,0.5442,0.4558
43.65715,-79.38508,50,27.21,0.5442,0.4558
43.65745,-79.41932,50,20.5,0.41,0.5900000000000001
43.65738,-79.41938,50,20.5,0.41,0.5900000000000001
43.65713,-79.41954,50,20.5,0.41,0.5900000000000001
43.65694,-79.41964,50,20.5,0.41,0.5900000000000001
43.65685,-79.40582,40,17.63,0.44075,0.55925
43.65698,-79.40517,40,17.63,0.44075,0.55925
43.65683,-79.37565,40,17.1,0.42750000000000005,0.5725
43.65664,-79.37654,40,17.1,0.42750000000000005,0.5725
43.65664,-79.42093,50,17.4,0.348,0.652
43.65668,-79.42073,50,17.4,0.348,0.652
43.65677,-79.42023,50,17.4,0.348,0.652
43.65683,-79.41993,50,17.4,0.348,0.652
43.65685,-79.41977,50,17.4,0.348,0.652
43.65687,-79.41973,50,17.4,0.348,0.652
43.65694,-79.41964,50,17.4,0.348,0.652
43.65664,-79.37654,40,15.7,0.39249999999999996,0.6075
43.6565,-79.37714,40,15.7,0.39249999999999996,0.6075
